Method,z_um,f_norm,H_A
Clear,-100.0,0.595,0.049136644633047157
Clear,-100.0,0.605,0.05251981763541334
Clear,-100.0,0.615,0.05567215939476079
Clear,-100.0,0.625,0.05875624434426566
Clear,-100.0,0.635,0.061675849620250474
Clear,-100.0,0.645,0.06431301812536552
Clear,-100.0,0.655,0.06669402679492195
Clear,-100.0,0.665,0.06882836375305916
Clear,-100.0,0.675,0.07074296276162609
Clear,-100.0,0.685,0.0725454464299317
Clear,-100.0,0.6950000000000001,0.07413107423497453
Clear,-100.0,0.7050000000000001,0.07553694731450598
Clear,-100.0,0.715,0.07672593101599173
Clear,-100.0,0.725,0.077697247468457
Clear,-100.0,0.735,0.07853563912341391
Clear,-100.0,0.745,0.07918369531851686
Clear,-100.0,0.755,0.07968596027541712
Clear,-100.0,0.765,0.08005891082053965
Clear,-100.0,0.775,0.0802758069950527
Clear,-100.0,0.785,0.0803785283557331
Clear,-100.0,0.795,0.08035397851310884
Clear,-100.0,0.805,0.0802188987931711
Clear,-100.0,0.8150000000000001,0.07996185848372726
Clear,-100.0,0.8250000000000001,0.07954601571634838
Clear,-100.0,0.835,0.07908248770689773
Clear,-100.0,0.845,0.07847275586582331
Clear,-100.0,0.855,0.07776976622037439
Clear,-100.0,0.865,0.0769962770173005
Clear,-100.0,0.875,0.07610521887709337
Clear,-100.0,0.885,0.07515806977463858
Clear,-100.0,0.895,0.07410724814224105
Clear,-75.0,0.005,1.0
Clear,-75.0,0.015,0.9986186607175012
Clear,-75.0,0.025,0.9957014398815903
Clear,-75.0,0.035,0.9914765554871272
Clear,-75.0,0.045,0.9855567883482994
Clear,-75.0,0.055,0.9779932450537319
Clear,-75.0,0.065,0.9708364873279592
Clear,-75.0,0.07500000000000001,0.9628594161623512
Clear,-75.0,0.08499999999999999,0.9514901550932258
Clear,-75.0,0.095,0.9395343712609435
Clear,-75.0,0.10500000000000001,0.9260655138052563
Clear,-75.0,0.11499999999999999,0.9100906804442875
Clear,-75.0,0.125,0.8940977486863955
Clear,-75.0,0.135,0.879336530095435
Clear,-75.0,0.14500000000000002,0.8604838712049134
Clear,-75.0,0.155,0.8378245727243978
Clear,-75.0,0.165,0.8147675651133442
Clear,-75.0,0.175,0.7919559433688141
Clear,-75.0,0.185,0.7676863554107863
Clear,-75.0,0.195,0.7436505774108969
Clear,-75.0,0.20500000000000002,0.7192400797460929
Clear,-75.0,0.215,0.6930377887350924
Clear,-75.0,0.225,0.6653087058360441
Clear,-75.0,0.235,0.6355940107785482
Clear,-75.0,0.245,0.6039767272302995
Clear,-75.0,0.255,0.572437793950657
Clear,-75.0,0.265,0.5417043173069764
Clear,-75.0,0.275,0.5113446040715341
Clear,-75.0,0.28500000000000003,0.47887777719181535
Clear,-75.0,0.295,0.4460607785940989
Clear,-75.0,0.305,0.41281382255690496
Clear,-75.0,0.315,0.379567619700506
Clear,-75.0,0.325,0.3504363186640153
Clear,-75.0,0.335,0.3218709792421695
Clear,-75.0,0.34500000000000003,0.2899498802524825
Clear,-75.0,0.355,0.25845453241404726
Clear,-75.0,0.365,0.22962810540111897
Clear,-75.0,0.375,0.20139091057653866
Clear,-75.0,0.385,0.17340356176292107
Clear,-75.0,0.395,0.1477976944649317
Clear,-75.0,0.405,0.12535507360768025
Clear,-75.0,0.41500000000000004,0.10583258562471384
Clear,-75.0,0.425,0.0870923921353381
Clear,-75.0,0.435,0.07040143156875336
Clear,-75.0,0.445,0.05568940246549759
Clear,-75.0,0.455,0.04245243669752592
Clear,-75.0,0.465,0.031108111272246188
Clear,-75.0,0.475,0.02156681853111297
Clear,-75.0,0.485,0.012120914059607487
